UID,Machine Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Timestamp
L48892,x_1,298.3,307.9,1551.0,33.8,72,0,No Failure,2002-02-10 08:00:00
L48893,x_1,298.2,307.8,1515.0,46.7,74,0,No Failure,2002-02-10 09:00:00
L48894,x_1,298.2,307.8,1388.0,48.6,76,0,No Failure,2002-02-10 10:00:00
L48895,x_1,298.2,307.8,1585.0,34.6,78,0,No Failure,2002-02-10 11:00:00
L48896,x_1,298.1,307.7,1523.0,37.7,80,0,No Failure,2002-02-10 12:00:00
L48897,x_1,298.2,307.6,,54.5,82,0,No Failure,2002-02-10 13:00:00
M16578,x1,298.2,307.7,1681.0,31.0,84,0,No Failure,2002-02-10 14:00:00
L48899,x_1,298.2,307.7,1503.0,38.3,87,0,No Failure,2002-02-10 15:00:00
L48900,x_1,298.2,307.7,1459.0,44.5,89,0,No Failure,2002-02-10 16:00:00
L48901,x_1,298.2,307.7,1688.0,32.4,91,0,No Failure,2002-02-10 17:00:00
M16582,x1,298.2,307.7,1952.0,21.6,93,0,No Failure,2002-02-10 18:00:00
L48903,x_1,282.2,307.8,2029.0,19.9,96,0,No Failure,2002-02-10 19:00:00
M16584,x1,298.3,307.8,1457.0,52.5,98,0,No Failure,2002-02-10 20:00:00
M16585,x1,298.3,307.8,1392.0,50.4,101,0,No Failure,2002-02-10 21:00:00
L48906,x_1,298.3,307.8,1906.0,22.1,104,0,No Failure,2002-02-10 22:00:00
M16587,x1,298.3,307.7,1602.0,33.4,106,0,No Failure,2002-02-10 23:00:00
L48908,x_1,298.3,307.7,1465.0,49.4,109,0,No Failure,2002-02-11 00:00:00
M16589,x1,298.3,307.7,1439.0,43.8,111,0,No Failure,2002-02-11 01:00:00
M16590,x1,298.3,307.8,1330.0,55.4,114,0,No Failure,2002-02-11 02:00:00
M16591,x1,298.3,307.9,1485.0,42.0,117,0,No Failure,2002-02-11 03:00:00
H31146,X1,298.4,307.9,,28.2,120,0,No Failure,2002-02-11 04:00:00
L48913,x_1,298.4,308.0,1515.0,42.8,125,0,No Failure,2002-02-11 05:00:00
M16594,x1,298.5,308.1,1501.0,39.2,127,0,No Failure,2002-02-11 06:00:00
L48915,x_1,298.4,308.0,1380.0,47.6,130,0,No Failure,2002-02-11 07:00:00
L48916,x_1,298.4,307.9,1544.0,35.9,132,0,No Failure,2002-02-11 08:00:00
L48917,x_1,298.4,307.9,1743.0,27.3,134,0,No Failure,2002-02-11 09:00:00
H31152,X1,298.4,307.9,1948.0,21.4,136,0,No Failure,2002-02-11 10:00:00
H31153,X2,298.5,307.9,1260.0,54.2,141,0,No Failure,2012-02-11 11:00:00
M16600,x1,298.5,307.9,1640.0,33.1,146,0,No Failure,2002-02-11 12:00:00
M16601,x1,298.5,308.0,1363.0,49.2,149,0,No Failure,2002-02-11 13:00:00
L48922,x_1,298.5,308.0,1379.0,49.6,152,0,No Failure,2002-02-11 14:00:00
M16603,x1,298.5,308.0,1713.0,25.8,154,0,No Failure,2002-02-11 15:00:00
M16604,x1,298.5,308.0,1461.0,51.9,157,0,No Failure,2002-02-11 16:00:00
L48925,x_1,298.5,308.0,1624.0,29.8,160,0,No Failure,2002-02-11 17:00:00
L48926,x_1,298.4,308.0,1526.0,41.1,162,0,No Failure,2002-02-11 18:00:00
L48927,x_1,298.4,307.9,2381.0,14.2,164,0,No Failure,2002-02-11 19:00:00
H31162,X1,298.4,307.7,1626.0,31.1,166,0,Random Failures,2002-02-11 20:00:00
L48929,x_1,298.3,307.7,1576.0,33.8,171,0,No Failure,2002-02-11 21:00:00
M16610,x1,298.4,307.8,1617.0,31.6,173,0,No Failure,2002-02-11 22:00:00
L48931,x_1,298.3,307.6,1942.0,20.6,176,0,No Failure,2002-02-11 23:00:00
L48932,x_1,282.2,307.6,1492.0,37.2,178,0,No Failure,2002-02-12 00:00:00
L48933,x_1,298.2,307.5,1470.0,51.3,180,0,No Failure,2002-02-12 01:00:00
M16614,x1,298.0,307.4,1463.0,46.5,182,0,No Failure,2002-02-12 02:00:00
L48935,X2,298.0,307.3,1424.0,46.5,185,0,No Failure,2012-02-12 03:00:00
M16616,x1,298.1,307.4,1363.0,60.1,187,0,No Failure,2002-02-12 04:00:00
M16617,x1,298.1,307.4,1335.0,56.2,190,0,No Failure,2002-02-12 05:00:00
L48938,x_1,298.1,307.4,1608.0,33.9,193,0,No Failure,2002-02-12 06:00:00
H31173,X1,298.0,307.4,1606.0,35.2,195,0,No Failure,2002-02-12 07:00:00
L48940,x_1,298.1,307.5,1684.0,33.1,200,0,No Failure,2002-02-12 08:00:00
L48941,x_1,298.1,307.6,1950.0,20.3,202,0,No Failure,2002-02-12 09:00:00
H31176,X1,298.2,307.6,1460.0,48.6,204,0,No Failure,2002-02-12 10:00:00
L48943,x_1,298.2,307.6,1511.0,31.0,209,1,Tool Wear Failure,2002-02-12 11:00:00
H31178,X1,298.2,307.6,1318.0,55.7,0,0,No Failure,2002-02-12 12:00:00
L48945,x_1,298.2,307.6,1368.0,51.8,5,0,No Failure,2002-02-12 13:00:00
M16626,x1,298.3,307.7,1717.0,27.1,7,0,No Failure,2002-02-12 14:00:00
M16627,x1,298.3,307.7,1520.0,41.4,10,0,No Failure,2002-02-12 15:00:00
M16628,x1,298.3,307.8,1485.0,42.0,13,0,No Failure,2002-02-12 16:00:00
L48949,x_1,282.4,307.9,1981.0,23.2,16,0,No Failure,2002-02-12 17:00:00
H31184,X1,298.4,307.9,1605.0,31.0,18,0,No Failure,2002-02-12 18:00:00
L48951,x_1,298.4,307.9,1446.0,125.1,23,0,No Failure,2002-02-12 19:00:00
L48952,x_1,298.4,308.0,1508.0,47.9,25,0,No Failure,2002-02-12 20:00:00
L48953,x_1,298.5,308.0,1384.0,59.5,27,0,No Failure,2002-02-12 21:00:00
M16634,x1,298.5,308.0,1519.0,37.3,29,0,No Failure,2002-02-12 22:00:00
L48955,x_1,298.5,308.0,1404.0,48.1,32,0,No Failure,2002-02-12 23:00:00
L48956,x_1,282.5,308.1,1564.0,31.1,34,0,No Failure,2002-02-13 00:00:00
H31191,X1,298.6,308.2,1555.0,36.8,36,0,No Failure,2002-02-13 01:00:00
L48958,x_1,298.6,308.2,1325.0,54.0,41,0,No Failure,2002-02-13 02:00:00
M16639,x1,298.6,308.2,1488.0,44.0,43,0,No Failure,2002-02-13 03:00:00
L48960,x_1,298.5,308.2,1595.0,112.1,46,0,No Failure,2002-02-13 04:00:00
L48961,x_1,298.5,308.1,1662.0,28.6,48,0,No Failure,2002-02-13 05:00:00
L48962,x_1,298.4,308.0,1571.0,37.4,50,0,No Failure,2002-02-13 06:00:00
H31197,X1,298.3,308.0,1553.0,41.0,52,0,No Failure,2002-02-13 07:00:00
L48964,x_1,298.3,308.0,2886.0,3.8,57,1,Power Failure,2002-02-13 08:00:00
L48965,x_1,298.2,308.0,1538.0,38.2,59,0,No Failure,2002-02-13 09:00:00
L48966,x_1,298.4,308.2,1618.0,33.0,61,0,No Failure,2002-02-13 10:00:00
L48967,x_1,298.4,308.2,1364.0,45.9,63,0,No Failure,2002-02-13 11:00:00
L48968,x_1,298.3,308.0,1442.0,47.3,65,0,No Failure,2002-02-13 12:00:00
L48969,x_1,298.2,307.9,1313.0,67.3,67,1,Power Failure,2002-02-13 13:00:00
L48970,x_1,298.2,307.9,1847.0,23.6,69,0,No Failure,2002-02-13 14:00:00
L48971,x_1,298.1,307.8,1524.0,40.8,71,0,No Failure,2002-02-13 15:00:00
M16652,x1,298.1,307.7,1445.0,48.0,73,0,No Failure,2002-02-13 16:00:00
L48973,x_1,298.1,307.8,1761.0,28.2,76,0,No Failure,2002-02-13 17:00:00
M16654,x1,298.1,307.8,1514.0,43.5,78,0,No Failure,2002-02-13 18:00:00
M16655,x1,298.1,307.7,1498.0,38.3,81,0,No Failure,2002-02-13 19:00:00
H31210,X1,298.1,307.6,1542.0,37.1,84,0,No Failure,2002-02-13 20:00:00
M16657,x1,298.0,307.6,1508.0,41.8,89,0,No Failure,2002-02-13 21:00:00
M16658,x1,298.0,307.5,1431.0,132.7,92,0,No Failure,2002-02-13 22:00:00
M16659,x1,282.0,307.5,1427.0,45.1,95,0,No Failure,2002-02-13 23:00:00
M16660,x1,282.0,307.5,1524.0,36.3,98,0,No Failure,2002-02-14 00:00:00
M16661,x1,298.0,307.5,1427.0,43.6,101,0,No Failure,2002-02-14 01:00:00
H31216,X1,298.1,307.6,1496.0,44.1,104,0,No Failure,2002-02-14 02:00:00
L48983,x_1,298.1,307.7,1388.0,40.3,109,0,No Failure,2002-02-14 03:00:00
L48984,x_1,298.1,307.7,1495.0,48.1,111,0,No Failure,2002-02-14 04:00:00
H31219,X1,298.1,307.7,1376.0,56.2,113,0,No Failure,2002-02-14 05:00:00
H31220,X1,298.0,307.6,1593.0,32.2,118,0,No Failure,2002-02-14 06:00:00
L48987,x_1,298.0,307.6,1654.0,28.9,123,0,No Failure,2002-02-14 07:00:00
L48988,x_1,298.1,307.7,2567.0,12.8,125,1,Power Failure,2002-02-14 08:00:00
L48989,x_1,298.1,307.7,1767.0,27.0,127,0,No Failure,2002-02-14 09:00:00
L48990,x_1,298.1,307.6,1364.0,53.8,129,0,No Failure,2002-02-14 10:00:00
M16671,x1,298.1,307.8,1569.0,31.2,131,0,No Failure,2002-02-14 11:00:00
L48992,x_1,298.2,307.8,1476.0,36.8,134,0,No Failure,2002-02-14 12:00:00
L48993,x_1,298.1,307.7,1479.0,45.0,136,0,No Failure,2002-02-14 13:00:00
L48994,x_1,298.1,307.7,1650.0,34.1,138,0,No Failure,2002-02-14 14:00:00
M16675,x1,298.1,307.6,1565.0,36.3,140,0,No Failure,2002-02-14 15:00:00
L48996,x_1,298.1,307.6,1460.0,46.5,143,0,No Failure,2002-02-14 16:00:00
L48997,x_1,298.1,307.7,1664.0,27.6,145,0,No Failure,2002-02-14 17:00:00
M16678,x1,298.1,307.7,1435.0,40.9,147,0,No Failure,2002-02-14 18:00:00
M16679,x1,298.1,307.6,2066.0,19.2,150,0,No Failure,2002-02-14 19:00:00
L49000,x_1,298.1,307.5,1493.0,43.7,153,0,No Failure,2002-02-14 20:00:00
L49001,x_1,298.1,307.6,1354.0,43.3,155,0,No Failure,2002-02-14 21:00:00
L49002,x_1,298.1,307.6,1488.0,119.2,157,0,No Failure,2002-02-14 22:00:00
L49003,x_1,298.1,307.7,1414.0,48.7,159,0,No Failure,2002-02-14 23:00:00
L49004,X2,298.1,307.5,1391.0,57.4,161,0,No Failure,2012-02-15 00:00:00
M16685,x1,298.0,307.5,1784.0,27.8,163,0,No Failure,2002-02-15 01:00:00
H31240,X1,297.8,307.3,1516.0,40.1,166,0,No Failure,2002-02-15 02:00:00
M16687,x1,297.9,307.3,1420.0,47.8,171,0,No Failure,2002-02-15 03:00:00
L49008,x_1,297.8,307.2,1351.0,56.3,174,0,No Failure,2002-02-15 04:00:00
L49009,x_1,297.8,307.2,1880.0,23.0,176,0,No Failure,2002-02-15 05:00:00
L49010,x_1,297.8,307.3,1859.0,24.0,178,0,No Failure,2002-02-15 06:00:00
M16691,x1,297.8,307.3,1315.0,54.0,180,0,No Failure,2002-02-15 07:00:00
M16692,x1,297.8,307.4,1330.0,51.7,183,0,No Failure,2002-02-15 08:00:00
L49013,x_1,297.8,307.3,1327.0,61.0,186,1,Overstrain Failure,2002-02-15 09:00:00
L49014,x_1,297.8,307.2,1498.0,38.1,188,0,No Failure,2002-02-15 10:00:00
H31249,X1,281.8,307.3,1555.0,35.8,190,0,No Failure,2002-02-15 11:00:00
L49016,x_1,297.7,307.2,1518.0,35.8,195,0,Error,2002-02-15 12:00:00
L49017,x_1,297.7,307.2,1392.0,43.0,197,0,No Failure,2002-02-15 13:00:00
M16698,x1,297.8,307.2,1456.0,39.6,199,0,No Failure,2002-02-15 14:00:00
L49019,x_1,297.7,307.1,1715.0,30.2,0,0,No Failure,2002-02-15 15:00:00
M16700,x1,297.7,307.2,1405.0,43.7,2,0,No Failure,2002-02-15 16:00:00
L49021,x_1,297.7,307.2,1668.0,37.8,5,0,No Failure,2002-02-15 17:00:00
H31256,X1,281.7,307.1,1855.0,22.5,7,0,No Failure,2002-02-15 18:00:00
L49023,x_1,297.6,307.1,1496.0,39.2,12,0,No Failure,2002-02-15 19:00:00
M16704,x1,297.6,307.1,1471.0,44.9,14,0,No Failure,2002-02-15 20:00:00
L49025,x_1,297.7,307.2,1444.0,40.0,17,0,No Failure,2002-02-15 21:00:00
H31260,X1,297.7,307.3,1514.0,38.6,19,0,No Failure,2002-02-15 22:00:00
L49027,x_1,297.8,307.3,1412.0,50.7,24,0,No Failure,2002-02-15 23:00:00
H31262,X1,297.7,307.2,1429.0,44.1,26,0,No Failure,2002-02-16 00:00:00
L49029,x_1,297.7,307.2,1668.0,32.7,31,0,No Failure,2002-02-16 01:00:00
M16710,x1,297.7,307.2,1372.0,52.8,33,0,No Failure,2002-02-16 02:00:00
M16711,x1,297.7,307.3,1365.0,49.2,36,0,No Failure,2002-02-16 03:00:00
M16712,x1,297.6,307.1,1526.0,39.1,39,0,No Failure,2002-02-16 04:00:00
L49033,x_1,297.6,307.2,1486.0,40.6,42,0,No Failure,2002-02-16 05:00:00
M16714,x1,297.6,307.2,1470.0,42.6,44,0,No Failure,2002-02-16 06:00:00
H31269,X1,297.7,307.3,1249.0,62.8,47,0,No Failure,2002-02-16 07:00:00
M16716,x1,297.8,307.4,1752.0,26.1,52,0,No Failure,2002-02-16 08:00:00
L49037,x_1,297.7,307.4,1643.0,36.5,55,0,No Failure,2002-02-16 09:00:00
M16718,x1,297.8,307.4,1488.0,36.1,57,0,No Failure,2002-02-16 10:00:00
L49039,x_1,297.8,307.4,1355.0,45.8,60,0,No Failure,2002-02-16 11:00:00
L49040,x_1,297.8,307.6,1607.0,30.3,62,0,No Failure,2002-02-16 12:00:00
M16721,x1,297.9,307.6,1609.0,30.3,64,0,No Failure,2002-02-16 13:00:00
L49042,x_1,297.9,307.7,1517.0,44.4,67,0,No Failure,2002-02-16 14:00:00
M16723,x1,297.9,307.7,1517.0,39.5,69,0,No Failure,2002-02-16 15:00:00
L49044,x_1,297.9,307.7,1546.0,37.6,72,0,No Failure,2002-02-16 16:00:00
L49045,x_1,297.9,307.7,1567.0,34.7,74,0,No Failure,2002-02-16 17:00:00
M16726,x1,298.1,307.9,1662.0,28.9,76,0,No Failure,2002-02-16 18:00:00
L49047,x_1,298.1,307.9,1502.0,41.8,79,0,No Failure,2002-02-16 19:00:00
L49048,x_1,298.3,308.0,1361.0,56.9,81,0,No Failure,2002-02-16 20:00:00
M16729,x1,298.3,308.1,1630.0,32.7,83,0,No Failure,2002-02-16 21:00:00
L49050,x_1,298.3,308.0,1486.0,42.3,86,0,No Failure,2002-02-16 22:00:00
L49051,x_1,298.3,308.1,1840.0,21.5,88,0,No Failure,2002-02-16 23:00:00
L49052,x_1,298.3,308.1,1326.0,58.4,90,0,No Failure,2002-02-17 00:00:00
L49053,x_1,298.4,308.1,1367.0,57.8,92,0,No Failure,2002-02-17 01:00:00
L49054,x_1,298.4,308.1,,32.7,94,0,No Failure,2002-02-17 02:00:00
L49055,x_1,298.3,308.0,1363.0,50.1,96,0,No Failure,2002-02-17 03:00:00
L49056,x_1,298.3,308.0,1242.0,62.0,98,0,No Failure,2002-02-17 04:00:00
M16737,x1,298.2,307.8,1566.0,33.8,100,0,No Failure,2002-02-17 05:00:00
M16738,x1,298.1,307.7,1424.0,47.7,103,0,No Failure,2002-02-17 06:00:00
M16739,x1,298.2,307.7,1608.0,33.8,106,0,No Failure,2002-02-17 07:00:00
L49060,x_1,298.1,307.7,1705.0,108.9,109,0,No Failure,2002-02-17 08:00:00
L49061,x_1,298.0,307.6,1548.0,45.8,111,0,No Failure,2002-02-17 09:00:00
M16742,x1,298.0,307.6,1581.0,43.4,113,0,No Failure,2002-02-17 10:00:00
M16743,x1,298.0,307.6,1472.0,46.7,116,0,No Failure,2002-02-17 11:00:00
M16744,x1,298.0,307.6,1792.0,26.0,119,0,No Failure,2002-02-17 12:00:00
L49065,x_1,298.0,307.6,1683.0,32.8,122,0,No Failure,2002-02-17 13:00:00
L49066,x_1,297.9,307.6,1503.0,40.7,124,0,No Failure,2002-02-17 14:00:00
M16747,x1,297.9,307.5,1642.0,32.4,126,0,No Failure,2002-02-17 15:00:00
M16748,x1,297.8,307.4,1902.0,24.3,129,0,No Failure,2002-02-17 16:00:00
H31303,X1,297.7,307.4,1432.0,40.2,132,0,No Failure,2002-02-17 17:00:00
L49070,x_1,297.8,307.4,1512.0,40.8,137,0,No Failure,2002-02-17 18:00:00
L49071,x_1,297.7,307.4,1764.0,29.0,139,0,No Failure,2002-02-17 19:00:00
M16752,x1,297.8,307.4,1438.0,123.4,141,0,No Failure,2002-02-17 20:00:00
L49073,x_1,297.8,307.5,1631.0,29.9,144,0,No Failure,2002-02-17 21:00:00
H31308,X1,297.9,307.5,1880.0,23.3,146,0,No Failure,2002-02-17 22:00:00
L49075,x_1,297.9,307.6,1344.0,213.9,151,0,No Failure,2002-02-17 23:00:00
L49076,x_1,297.9,307.5,1574.0,35.8,153,0,No Failure,2002-02-18 00:00:00
L49077,x_1,297.8,307.4,1418.0,41.2,155,0,No Failure,2002-02-18 01:00:00
L49078,x_1,297.8,307.5,1372.0,54.1,157,0,No Failure,2002-02-18 02:00:00
L49079,x_1,297.8,307.5,1388.0,40.0,159,0,Error,2002-02-18 03:00:00
H31314,X1,281.9,307.6,1493.0,36.0,161,0,No Failure,2002-02-18 04:00:00
M16761,x1,297.9,307.6,1505.0,40.1,166,0,No Failure,2002-02-18 05:00:00
L49082,x_1,298.0,307.6,1694.0,29.1,169,0,No Failure,2002-02-18 06:00:00
L49083,x_1,297.9,307.6,1968.0,20.4,171,0,No Failure,2002-02-18 07:00:00
M16764,x1,298.0,307.6,1569.0,35.6,173,0,No Failure,2002-02-18 08:00:00
L49085,x_1,297.9,307.6,1687.0,29.1,176,0,No Failure,2002-02-18 09:00:00
L49086,x_1,297.9,307.6,1430.0,52.4,178,0,No Failure,2002-02-18 10:00:00
L49087,x_1,297.9,307.6,1504.0,42.4,180,0,No Failure,2002-02-18 11:00:00
L49088,x_1,297.9,307.6,1977.0,20.2,182,0,No Failure,2002-02-18 12:00:00
L49089,x_1,282.0,307.7,1435.0,45.6,184,0,No Failure,2002-02-18 13:00:00
H31324,X1,298.0,307.7,1547.0,36.8,186,0,No Failure,2002-02-18 14:00:00
M16771,x1,298.1,307.8,1316.0,57.2,191,0,No Failure,2002-02-18 15:00:00
M16772,x1,298.0,307.7,1621.0,34.9,194,0,No Failure,2002-02-18 16:00:00
M16773,x1,298.0,307.8,1492.0,40.2,197,0,No Failure,2002-02-18 17:00:00
L49094,x_1,282.0,307.7,1643.0,32.3,200,0,No Failure,2002-02-18 18:00:00
L49095,x_1,298.0,307.7,1492.0,38.7,202,0,No Failure,2002-02-18 19:00:00
L49096,x_1,298.0,307.7,1387.0,50.8,204,0,No Failure,2002-02-18 20:00:00
M16777,x1,298.1,307.9,1463.0,47.3,206,0,No Failure,2002-02-18 21:00:00
M16778,x1,298.1,307.9,1496.0,40.0,0,0,No Failure,2002-02-18 22:00:00
L49099,x_1,298.2,308.0,1658.0,30.0,3,0,No Failure,2002-02-18 23:00:00
L49100,x_1,298.1,307.9,2161.0,17.5,5,0,No Failure,2002-02-19 00:00:00
L49101,x_1,298.1,307.9,1665.0,32.0,7,0,No Failure,2002-02-19 01:00:00
L49102,x_1,298.0,307.8,1716.0,106.4,9,0,No Failure,2002-02-19 02:00:00
L49103,x_1,298.0,307.7,1529.0,34.1,11,0,No Failure,2002-02-19 03:00:00
L49104,x_1,297.9,307.7,1353.0,50.7,13,0,No Failure,2002-02-19 04:00:00
L49105,x_1,297.9,307.7,1537.0,37.7,15,0,No Failure,2002-02-19 05:00:00
L49106,x_1,298.0,307.7,1606.0,30.8,17,0,No Failure,2002-02-19 06:00:00
H31341,X1,298.0,307.8,1314.0,47.8,19,0,No Failure,2002-02-19 07:00:00
L49108,X2,298.0,307.8,1623.0,29.9,24,0,No Failure,2012-02-19 08:00:00
M16789,x1,298.0,307.8,1483.0,50.9,26,0,No Failure,2002-02-19 09:00:00
M16790,x1,298.1,307.9,1569.0,37.0,29,0,No Failure,2002-02-19 10:00:00
M16791,x1,282.2,308.0,1969.0,21.7,32,0,No Failure,2002-02-19 11:00:00
M16792,x1,298.1,308.0,1686.0,29.3,35,0,No Failure,2002-02-19 12:00:00
L49113,x_1,298.1,308.0,1638.0,35.1,38,0,No Failure,2002-02-19 13:00:00
L49114,x_1,298.1,307.9,1698.0,33.3,40,0,No Failure,2002-02-19 14:00:00
M16795,x1,282.1,307.9,1377.0,55.1,42,0,No Failure,2002-02-19 15:00:00
M16796,x1,298.1,308.0,2129.0,18.4,45,0,No Failure,2002-02-19 16:00:00
L49117,x_1,298.2,308.0,1411.0,42.4,48,0,No Failure,2002-02-19 17:00:00
L49118,x_1,298.1,307.9,1517.0,40.8,50,0,No Failure,2002-02-19 18:00:00
M16799,x1,298.1,307.9,1303.0,53.9,52,0,No Failure,2002-02-19 19:00:00
L49120,x_1,298.1,307.9,1578.0,35.6,55,0,No Failure,2002-02-19 20:00:00
L49121,x_1,298.1,307.9,1425.0,58.2,57,0,No Failure,2002-02-19 21:00:00
L49122,x_1,298.1,308.0,1456.0,42.4,59,0,No Failure,2002-02-19 22:00:00
L49123,x_1,298.1,308.0,1704.0,30.9,61,0,No Failure,2002-02-19 23:00:00
L49124,x_1,298.1,308.1,1791.0,27.3,63,0,No Failure,2002-02-20 00:00:00
L49125,x_1,298.1,308.1,1616.0,32.8,65,0,No Failure,2002-02-20 01:00:00
L49126,x_1,298.2,308.1,1622.0,34.9,67,0,No Failure,2002-02-20 02:00:00
L49127,x_1,282.2,308.1,1462.0,49.9,69,0,No Failure,2002-02-20 03:00:00
L49128,x_1,298.1,308.1,1410.0,45.8,71,0,No Failure,2002-02-20 04:00:00
M16809,x1,298.1,308.0,1543.0,41.9,73,0,No Failure,2002-02-20 05:00:00
M16810,x1,298.0,307.9,1479.0,47.6,76,0,No Failure,2002-02-20 06:00:00
L49131,x_1,298.0,307.8,1839.0,102.5,79,0,No Failure,2002-02-20 07:00:00
L49132,x_1,298.0,307.8,1266.0,60.5,81,0,No Failure,2002-02-20 08:00:00
L49133,x_1,297.9,307.7,1593.0,34.9,83,0,No Failure,2002-02-20 09:00:00
L49134,x_1,297.9,307.8,1459.0,46.9,85,0,No Failure,2002-02-20 10:00:00
L49135,x_1,297.9,307.7,1308.0,55.2,87,0,No Failure,2002-02-20 11:00:00
M16816,x1,297.9,307.7,1364.0,46.8,89,0,No Failure,2002-02-20 12:00:00
H31371,X1,297.9,307.7,1618.0,35.9,92,0,No Failure,2002-02-20 13:00:00
H31372,X1,297.9,307.7,1464.0,43.2,97,0,No Failure,2002-02-20 14:00:00
M16819,x1,297.8,307.6,1352.0,49.4,102,0,No Failure,2002-02-20 15:00:00
L49140,x_1,297.8,307.6,1446.0,51.4,105,0,No Failure,2002-02-20 16:00:00
L49141,x_1,297.8,307.5,1448.0,51.2,107,0,No Failure,2002-02-20 17:00:00
L49142,x_1,297.8,307.5,1391.0,48.6,109,0,No Failure,2002-02-20 18:00:00
L49143,x_1,281.7,307.5,1379.0,43.3,111,0,No Failure,2002-02-20 19:00:00
M16824,x1,297.8,307.5,1405.0,46.9,113,0,No Failure,2002-02-20 20:00:00
L49145,x_1,297.8,307.5,1581.0,33.1,116,0,No Failure,2002-02-20 21:00:00
L49146,x_1,281.9,307.6,1515.0,40.5,118,0,No Failure,2002-02-20 22:00:00
L49147,x_1,297.9,307.6,1589.0,37.8,120,0,No Failure,2002-02-20 23:00:00
L49148,x_1,298.0,307.6,1281.0,50.8,122,0,No Failure,2002-02-21 00:00:00
H31383,X1,297.8,307.5,1631.0,31.3,124,0,No Failure,2002-02-21 01:00:00
M16830,x1,281.9,307.6,1202.0,67.0,129,0,No Failure,2002-02-21 02:00:00
L49151,x_1,297.9,307.6,1298.0,52.7,132,0,No Failure,2002-02-21 03:00:00
L49152,x_1,281.9,307.6,1612.0,30.7,134,0,No Failure,2002-02-21 04:00:00
L49153,x_1,297.9,307.6,1747.0,25.3,136,0,No Failure,2002-02-21 05:00:00
L49154,x_1,298.0,307.6,1450.0,48.7,138,0,No Failure,2002-02-21 06:00:00
L49155,x_1,298.0,307.7,1422.0,45.6,140,0,No Failure,2002-02-21 07:00:00
M16836,x1,298.1,307.7,1419.0,47.4,142,0,No Failure,2002-02-21 08:00:00
M16837,x1,298.1,307.7,1633.0,30.7,145,0,No Failure,2002-02-21 09:00:00
L49158,x_1,298.0,307.7,1442.0,123.4,148,0,No Failure,2002-02-21 10:00:00
H31393,X1,298.0,307.6,1420.0,45.8,150,0,No Failure,2002-02-21 11:00:00
M16840,x1,298.0,307.6,1301.0,58.5,155,0,No Failure,2002-02-21 12:00:00
L49161,x_1,298.0,307.6,1385.0,45.0,158,0,No Failure,2002-02-21 13:00:00
M16842,x1,298.0,307.7,1487.0,121.1,160,0,No Failure,2002-02-21 14:00:00
M16843,x1,298.0,307.6,1459.0,44.4,163,0,No Failure,2002-02-21 15:00:00
M16844,x1,298.0,307.5,1387.0,45.5,166,0,No Failure,2002-02-21 16:00:00
L49165,x_1,298.1,307.7,1537.0,40.8,169,0,No Failure,2002-02-21 17:00:00
L49166,x_1,298.1,307.6,1498.0,42.9,171,0,No Failure,2002-02-21 18:00:00
M16847,x1,298.2,307.8,1599.0,31.2,173,0,No Failure,2002-02-21 19:00:00
H31402,X1,298.3,307.9,1420.0,39.2,176,0,No Failure,2002-02-21 20:00:00
L49169,x_1,298.2,307.9,1785.0,23.4,181,0,No Failure,2002-02-21 21:00:00
L49170,x_1,298.2,307.8,1423.0,48.1,183,0,No Failure,2002-02-21 22:00:00
M16851,x1,298.2,307.8,1583.0,36.6,185,0,No Failure,2002-02-21 23:00:00
L49172,x_1,298.2,307.8,1375.0,46.6,188,0,No Failure,2002-02-22 00:00:00
M16853,x1,298.3,308.0,1463.0,42.5,190,0,No Failure,2002-02-22 01:00:00
M16854,x1,298.2,307.9,1403.0,45.1,193,0,No Failure,2002-02-22 02:00:00
L49175,x_1,298.3,308.0,1451.0,47.1,196,0,No Failure,2002-02-22 03:00:00
M16856,x1,298.4,308.0,1416.0,38.2,198,1,Tool Wear Failure,2002-02-22 04:00:00
L49177,x_1,282.3,308.1,1672.0,41.3,0,0,No Failure,2002-02-22 05:00:00
H31412,X1,298.3,308.0,1637.0,30.8,2,0,No Failure,2002-02-22 06:00:00
L49179,x_1,298.4,308.0,1540.0,37.8,7,0,No Failure,2002-02-22 07:00:00
L49180,x_1,298.4,308.1,1279.0,53.1,9,0,No Failure,2002-02-22 08:00:00
L49181,X2,298.4,308.2,1604.0,34.9,11,0,No Failure,2012-02-22 09:00:00
L49182,x_1,298.5,308.2,1654.0,27.1,13,0,No Failure,2002-02-22 10:00:00
M16863,x1,298.5,308.2,1564.0,37.5,15,0,No Failure,2002-02-22 11:00:00
L49184,x_1,298.5,308.2,1451.0,47.5,18,0,No Failure,2002-02-22 12:00:00
L49185,x_1,298.5,308.3,1504.0,117.8,20,0,No Failure,2002-02-22 13:00:00
M16866,x1,298.5,308.3,1381.0,130.3,22,0,No Failure,2002-02-22 14:00:00
L49187,x_1,298.6,308.4,1562.0,34.4,25,0,No Failure,2002-02-22 15:00:00
L49188,x_1,298.5,308.3,1811.0,24.7,27,0,No Failure,2002-02-22 16:00:00
M16869,x1,298.6,308.3,1717.0,28.7,29,0,No Failure,2002-02-22 17:00:00
L49190,X2,298.6,308.3,1278.0,60.5,32,0,No Failure,2012-02-22 18:00:00
